RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
243,Alex Vlasic,N,D,106,CHI,24,$4.6,267.7,3.3,-55.1,-8.3,—,N/A,, ,80,23.6,4,22,26,99,0,4,0,0,157,64,-10,27,1,0,0,0%,,,,,,,,,,
569,Alex Wennberg,N,C,147,S.J,31,$5.0,242.7,3.0,-270.0,-40.5,—,N/A,, ,81,17.9,10,23,33,91,2,5,0,0,77,41,-8,19,1,521,596,47%,,,,,,,,,,
231,Alexander Nikishin,N,D,102,CAR,24,$0.9,275.4,3.8,-47.5,-7.1,—,N/A,, ,72,18.0,7,15,21,125,1,2,0,0,86,100,6,38,1,0,0,0%,,,,,,,,,,
492,Alexei Toropchenko,N,RW,118,STL,26,$1.7,293.4,3.7,-204.7,-30.7,—,N/A,, ,80,12.1,9,11,19,91,0,0,1,1,48,190,0,24,1,2,7,24%,,,,,,,,,,
182,Alexis Lafrenière,N,"LW,RW",41,NYR,24,$7.5,463.0,5.7,-18.7,-2.8,—,N/A,,+ +,82,17.6,26,34,60,184,4,9,0,0,28,105,2,33,4,16,35,31%,,,,,,,,,,
379,Aliaksei Protas,N,RW,71,WSH,25,$3.4,371.5,4.8,-126.6,-19.0,—,N/A,,+,78,16.5,23,34,57,153,0,1,2,4,42,33,4,21,4,15,33,31%,,,,,,,,,,
204,Anders Lee,N,LW,45,NYI,35,$7.0,449.3,5.5,-32.4,-4.8,—,N/A,, ,82,16.5,24,22,46,221,5,9,0,0,45,127,1,44,4,15,17,46%,,,,,,,,,,
518,Andre Burakovsky,N,LW,134,CHI,31,$5.5,262.4,3.6,-219.2,-32.9,—,N/A,, ,74,15.7,12,23,35,127,2,7,0,0,28,39,-7,20,2,3,4,39%,,,,,,,,,,
412,Andrei Kuzmenko,N,"LW,RW",93,L.A,30,$4.3,340.4,4.4,-141.2,-21.2,—,N/A,, ,78,15.4,20,29,49,118,6,14,0,0,26,33,2,17,3,1,0,71%,,,,,,,,,,
49,Andrei Svechnikov,N,"LW,RW",15,CAR,25,$7.8,571.8,7.6,90.2,13.5,114.0,65.0,,+ +,75,17.6,27,40,66,207,10,23,0,0,27,152,6,61,5,2,4,37%,,,,,,,,,,
58,Andrei Vasilevskiy,N,G,2,T.B,31,$9.5,289.4,4.8,84.3,12.6,16.0,-42.0,, ,,,,,,,,,,,,,,,,,,,,60,37,17,6,5,"1,564",149,0.913,2.48
588,Andrew Copp,N,"C,LW",158,DET,31,$5.6,196.4,2.6,-285.2,-42.8,—,N/A,, ,77,13.3,9,16,26,85,0,1,1,1,42,30,-2,18,1,415,391,51%,,,,,,,,,,
457,Andrew Mangiapane,N,"LW,RW",108,EDM,29,$3.6,303.9,3.8,-177.7,-26.6,—,N/A,, ,81,13.9,14,20,35,120,1,3,0,0,33,84,8,30,2,5,7,43%,,,,,,,,,,
317,Andrew Peeke,N,D,144,BOS,28,$2.8,225.1,3.0,-97.7,-14.6,—,N/A,, ,75,17.4,3,13,15,74,0,0,0,1,120,107,-5,20,0,0,0,0%,,,,,,,,,,
495,Anthony Beauvillier,N,LW,124,WSH,28,$2.8,274.5,3.5,-207.1,-31.0,—,N/A,, ,79,12.8,11,13,24,132,0,0,0,0,36,112,1,17,2,12,17,40%,,,,,,,,,,
377,Anthony Cirelli,N,C,72,T.B,28,$6.3,387.5,4.9,-125.2,-18.8,—,N/A,, ,79,18.7,23,29,52,157,3,6,2,4,70,41,9,30,4,611,611,50%,,,,,,,,,,
550,Anthony Duclair,N,LW,148,NYI,30,$3.5,228.1,3.4,-253.5,-38.0,—,N/A,, ,68,13.9,14,13,26,102,3,6,0,0,32,48,-2,19,2,2,8,20%,,,,,,,,,,
