RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
1,Nathan MacKinnon,Y,C,1,COL,30,$12.6,234.5,2.8,93.7,58.2,2.4,1.4,, ,83,22.0,46,78,123,351,10,34,0,0,45,58,14,34,8,684,699,49%,,,,,,,,,,
2,Connor McDavid,Y,C,2,EDM,29,$12.5,232.4,2.9,91.7,57.0,1.5,-0.5,, ,81,22.0,40,91,131,283,12,51,0,0,29,48,10,38,7,439,453,49%,,,,,,,,,,
3,Cale Makar,Y,D,1,COL,27,$9.0,224.4,2.7,85.8,53.3,7.3,4.3,, ,82,25.3,22,64,86,226,7,34,1,1,132,52,10,25,4,0,0,0%,,,,,,,,,,
4,Nikita Kucherov,Y,RW,1,T.B,33,$9.5,224.9,2.7,84.2,52.3,4.1,0.1,, ,82,20.3,41,86,127,257,9,44,0,0,34,37,13,35,7,1,2,30%,,,,,,,,,,
5,Evan Bouchard,Y,D,2,EDM,26,$10.5,213.8,2.5,75.1,46.7,18.9,13.9,, ,84,24.9,18,66,84,228,6,35,0,1,115,44,9,36,3,0,0,0%,,,,,,,,,,
6,Quinn Hughes,Y,D,3,MIN,26,$7.9,213.6,2.6,75.0,46.6,14.1,8.1,, ,81,27.7,15,76,91,216,4,37,0,0,98,21,6,37,2,0,0,0%,,,,,,,,,,
7,Zach Werenski,Y,D,4,CBJ,29,$9.6,212.4,2.6,73.7,45.8,17.1,10.1,, ,81,27.1,21,62,83,281,5,25,0,1,118,36,5,30,3,0,0,0%,,,,,,,,,,
8,Macklin Celebrini,Y,C,3,S.J,20,$1.0,211.1,2.6,70.3,43.7,7.4,-0.6,,+,82,21.4,44,68,112,295,10,34,0,0,56,53,-1,42,6,627,667,48%,,,,,,,,,,
9,Leon Draisaitl,Y,"C,LW",1,EDM,30,$14.0,208.3,2.6,67.6,42.0,6.6,-2.4,, ,79,21.1,45,66,112,233,19,46,0,0,24,39,9,40,8,750,588,56%,,,,,,,,,,
10,Rasmus Dahlin,Y,D,5,BUF,26,$11.0,199.5,2.5,60.8,37.8,35.8,25.8,,+ +,81,24.2,22,56,78,219,7,25,0,0,100,84,6,61,3,0,0,0%,,,,,,,,,,
11,David Pastrnak,Y,RW,2,BOS,30,$11.3,196.2,2.4,55.5,34.4,9.5,-1.5,, ,83,20.6,37,68,105,304,10,30,0,0,32,80,1,46,5,4,8,30%,,,,,,,,,,
12,Auston Matthews,Y,C,5,TOR,28,$13.3,195.9,2.5,55.2,34.3,17.1,5.1,,+,78,20.6,44,45,89,312,12,27,0,0,88,57,4,23,6,726,550,57%,,,,,,,,,,
13,Matt Boldy,Y,"LW,RW",3,MIN,25,$7.0,193.6,2.4,52.8,32.8,20.9,7.9,,+,82,21.5,41,52,92,287,11,30,2,2,65,63,6,46,7,60,75,45%,,,,,,,,,,
14,Jason Robertson,Y,"LW,RW",4,DAL,27,$12.0,192.8,2.3,52.0,32.3,13.3,-0.7,, ,84,20.2,41,54,95,283,13,35,0,0,39,56,9,30,7,1,4,27%,,,,,,,,,,
15,Kirill Kaprizov,Y,LW,4,MIN,29,$17.0,192.7,2.5,52.0,32.3,10.9,-4.1,,+,77,22.1,46,51,97,272,17,33,0,0,30,49,6,33,8,0,2,0%,,,,,,,,,,
16,Matthew Schaefer,Y,D,6,NYI,18,$1.0,189.6,2.3,50.9,31.6,34.2,18.2,,+,83,24.8,26,45,71,231,10,24,0,0,114,46,-1,44,4,0,0,0%,,,,,,,,,,
17,Lane Hutson,Y,D,7,MTL,22,$8.9,187.0,2.2,48.3,30.0,20.0,3.0,, ,84,23.7,12,66,78,128,2,27,0,0,132,39,9,38,2,0,0,0%,,,,,,,,,,
18,Jack Eichel,Y,C,6,VGK,29,$13.5,188.9,2.4,48.2,29.9,23.0,5.0,, ,80,21.4,32,66,98,285,6,35,1,2,49,37,8,21,6,596,685,46%,,,,,,,,,,
