RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
29,Wyatt Johnston,Y,"C,RW",7,DAL,23,$8.4,414.9,4.9,80.1,6.4,18.6,-10.4,, ,84,19.9,43,46,89,226,20,36,0,0,53,56,5,32,7,426,436,49%,,,,,,,,,,
30,Kyle Connor,Y,LW,9,WPG,29,$12.0,408.0,5.0,79.3,6.3,29.0,-1.0,, ,82,21.5,39,52,91,276,7,23,1,1,29,35,1,22,7,0,3,10%,,,,,,,,,,
31,Adam Fox,Y,D,12,NYR,28,$9.5,319.1,4.1,75.3,6.0,58.0,27.0,, ,77,23.8,13,59,72,136,5,30,0,1,110,47,4,36,2,0,0,0%,,,,,,,,,,
32,Sidney Crosby,Y,C,12,PIT,39,$8.7,402.3,4.9,73.8,5.9,52.6,20.6,, ,81,19.4,33,52,85,214,11,26,0,0,37,70,1,37,5,973,743,57%,,,,,,,,,,
33,Aleksander Barkov,Y,C,13,FLA,30,$10.0,400.9,5.0,72.4,5.8,52.4,19.4,, ,79,20.5,25,57,82,200,8,31,1,3,58,98,6,28,4,704,534,57%,,,,,,,,,,
34,Jackson LaCombe,N,D,14,ANA,25,$9.0,314.5,3.8,70.6,5.7,79.5,45.5,,+,82,24.9,13,45,58,163,4,20,0,1,137,79,-3,31,2,0,0,0%,,,,,,,,,,
35,Roman Josi,Y,D,15,NSH,36,$9.1,312.9,4.0,69.1,5.5,79.9,44.9,, ,78,24.9,12,44,56,203,4,23,0,0,121,41,-3,37,2,0,0,0%,,,,,,,,,,
36,Dylan Guenther,Y,"LW,RW",8,UTA,23,$7.1,403.6,5.0,68.7,5.5,39.6,3.6,,+ +,81,17.8,40,42,82,255,12,31,0,0,36,71,3,31,6,22,39,36%,,,,,,,,,,
37,Connor Hellebuyck,,G,1,WPG,33,$8.5,266.4,4.4,67.7,5.4,26.6,-10.4,, ,,,,,,,,,,,,,,,,,,,,60,31,21,7,4,"1,579",156,0.910,2.61
38,Andrei Vasilevskiy,,G,2,T.B,32,$9.5,265.7,4.8,67.0,5.4,11.9,-26.1,, ,,,,,,,,,,,,,,,,,,,,55,34,16,5,4,"1,469",142,0.912,2.59
39,Tage Thompson,Y,"C,RW",9,BUF,28,$7.1,397.4,4.9,62.5,5.0,29.7,-9.3,, ,82,19.1,40,38,79,273,8,23,0,0,44,81,2,35,6,384,489,44%,,,,,,,,,,
40,Cole Caufield,Y,"LW,RW",10,MTL,25,$7.9,396.8,4.7,61.9,5.0,18.6,-21.4,, ,84,18.2,42,38,80,267,11,26,0,0,26,57,6,19,7,7,11,38%,,,,,,,,,,
41,Bo Horvat,Y,C,16,NYI,31,$8.5,387.6,4.8,59.0,4.7,126.1,85.1,, ,81,22.0,33,34,67,273,7,15,2,2,48,76,-2,32,5,868,673,56%,,,,,,,,,,
42,Josh Morrissey,Y,D,16,WPG,31,$6.3,302.2,3.7,58.4,4.7,86.6,44.6,, ,83,24.6,11,48,59,166,2,19,0,0,123,49,5,35,2,0,0,0%,,,,,,,,,,
43,Matthew Tkachuk,Y,"LW,RW",11,FLA,28,$9.5,393.1,5.1,58.2,4.7,33.3,-9.7,, ,77,18.8,29,53,83,237,10,31,0,0,23,96,5,64,5,6,14,29%,,,,,,,,,,
44,Charlie McAvoy,Y,D,17,BOS,28,$9.5,301.6,3.9,57.8,4.6,99.6,55.6,, ,77,25.7,11,43,54,139,2,18,0,0,143,98,-1,69,1,0,0,0%,,,,,,,,,,
45,William Nylander,Y,"C,RW",12,TOR,30,$11.5,391.8,4.8,57.0,4.6,42.8,-2.2,, ,81,20.1,39,53,92,236,10,29,0,0,32,22,2,26,5,52,63,45%,,,,,,,,,,
46,Brandt Clarke,N,D,18,L.A,23,$7.4,299.9,3.6,56.1,4.5,104.6,58.6,,+,82,21.1,10,39,49,178,2,16,0,0,172,44,3,56,2,0,0,0%,,,,,,,,,,
47,Nico Hischier,Y,C,17,N.J,27,$7.3,384.1,4.7,55.6,4.4,131.2,84.2,, ,82,21.1,32,41,74,217,12,26,0,1,62,56,2,27,5,"1,033",816,56%,,,,,,,,,,
48,Mikko Rantanen,Y,"LW,RW",13,DAL,29,$12.0,389.7,4.8,54.9,4.4,24.9,-23.1,, ,81,20.3,31,60,91,198,10,36,0,0,40,55,6,58,5,98,97,50%,,,,,,,,,,
49,Logan Thompson,,G,3,WSH,29,$5.9,252.2,4.6,53.5,4.3,28.6,-20.4,, ,,,,,,,,,,,,,,,,,,,,55,32,17,6,4,"1,459",146,0.909,2.66
