RK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
29,Adam Fantilli,Y,C,24,CBJ,21,$0.0,595.9,7.4,240.3,19.2,93.9,64.9,,+,81,19.6,32,38,70,231,6,17,0,0,51,123,0,33,5,507,601,46%,,,,,,,,,,
30,Bo Horvat,Y,C,25,NYI,31,$8.5,593.4,7.3,237.8,19.0,126.1,96.1,, ,81,22.0,33,34,67,273,7,15,2,2,48,76,-2,32,5,868,673,56%,,,,,,,,,,
31,Mikko Rantanen,Y,"LW,RW",7,DAL,29,$12.0,655.4,8.1,237.3,19.0,24.9,-6.1,, ,81,20.3,31,60,91,198,10,36,0,0,40,55,6,58,5,98,97,50%,,,,,,,,,,
32,Kyle Connor,Y,LW,11,WPG,29,$12.0,644.8,7.8,233.7,18.7,29.0,-3.0,, ,82,21.5,39,52,91,276,7,23,1,1,29,35,1,22,7,0,3,10%,,,,,,,,,,
33,Matthew Schaefer,Y,D,7,NYI,18,$1.0,619.1,7.4,228.1,18.2,34.2,1.2,,+,83,24.8,26,45,71,231,10,24,0,0,114,46,-1,44,4,0,0,0%,,,,,,,,,,
34,Leo Carlsson,Y,C,26,ANA,21,$18.0,583.4,7.4,227.8,18.2,43.3,9.3,,+ +,78,21.7,37,49,86,233,7,22,2,4,42,27,-2,29,5,485,688,41%,,,,,,,,,,
35,Tim Stützle,Y,"C,LW",13,OTT,24,$8.4,638.7,7.7,227.6,18.2,47.2,12.2,, ,83,20.0,29,50,79,194,6,28,1,1,46,122,3,38,5,298,303,50%,,,,,,,,,,
36,Dylan Guenther,Y,"LW,RW",8,UTA,23,$7.1,645.5,8.0,227.4,18.2,39.6,3.6,,+ +,81,17.8,40,42,82,255,12,31,0,0,36,71,3,31,6,22,39,36%,,,,,,,,,,
37,Cutter Gauthier,Y,"C,LW,RW",9,ANA,22,$0.0,645.5,7.8,227.4,18.2,33.6,-3.4,, ,82,18.8,41,37,78,312,12,24,0,0,35,79,-2,32,6,96,123,44%,,,,,,,,,,
38,Dylan Larkin,Y,C,27,DET,30,$8.7,579.7,7.1,224.1,17.9,93.3,55.3,, ,81,20.3,33,38,71,243,13,26,1,1,38,52,-2,40,5,880,747,54%,,,,,,,,,,
